M = 0  out of  399
M = 40  out of  399
M = 80  out of  399
M = 120  out of  399
M = 160  out of  399
M = 200  out of  399
M = 240  out of  399
M = 280  out of  399
M = 320  out of  399
M = 360  out of  399
         3410443 function calls (3404904 primitive calls) in 325.778 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2511(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2546(_FuncInfo)
       14    0.000    0.000    0.000    0.000 __init__.py:2552(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:257(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:2576(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:2594(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2616(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2640(_StringFuncParser)
        1    0.000    0.000    0.025    0.025 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2707(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:271(_parse_commandline)
        2    0.000    0.000    0.002    0.001 __init__.py:271(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:2816(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2821(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2826(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2853(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:2886(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:292(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:2930(Text)
        1    0.000    0.000    0.000    0.000 __init__.py:298(<dictcomp>)
        2    0.000    0.000    0.004    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:31(<module>)
