         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      253    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.003    0.000 artist.py:1071(__init__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:180(<module>)
      325    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       41    0.000    0.000    0.000    0.000 pyparsing.py:2234(__init__)
       19    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
      188    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
       71    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.066    0.066 add_newdocs.py:10(<module>)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 dviread.py:19(<module>)
        1    0.000    0.000    0.037    0.037 _axes.py:1(<module>)
      149    0.000    0.000    0.000    0.000 inspect.py:695(getmodule)
       50    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.005    0.005 ssl.py:89(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
       16    0.000    0.000    0.002    0.000 rcsetup.py:720(cycler)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
        6    0.000    0.000    0.002    0.000 enum.py:314(_create_)
        1    0.000    0.000    0.000    0.000 ticker.py:489(ScalarFormatter)
      542    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      363    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       54    0.000    0.000    0.000    0.000 patches.py:1869(<listcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:1807(_pprint_table)
      299    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.004    0.004 Image.py:27(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:56(<module>)
        7    0.000    0.000    0.001    0.000 pyparsing.py:1695(__init__)
       22    0.000    0.000    0.000    0.000 artist.py:37(allow_rasterization)
       34    0.000    0.000    0.000    0.000 pyparsing.py:2607(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:367(extend_all)
        1    0.000    0.000    0.001    0.001 colors.py:45(<module>)
        1    0.000    0.000    0.072    0.072 colorbar.py:20(<module>)
      276    0.000    0.000    0.000    0.000 rcsetup.py:160(validate_float)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
       31    0.000    0.000    0.000    0.000 cm.py:34(revcmap)
        1    0.000    0.000    0.000    0.000 Image.py:506(Image)
