M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         48910792 function calls (48904933 primitive calls) in 7094.027 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.027    0.001 linecache.py:15(getline)
       22    0.000    0.000    0.027    0.001 linecache.py:37(getlines)
       16    0.000    0.000    0.027    0.002 linecache.py:82(updatecache)
    57015    0.027    0.000    0.027    0.000 numeric.py:1329(<listcomp>)
        1    0.000    0.000    0.027    0.027 __init__.py:97(<module>)
    27553    0.022    0.000    0.026    0.000 function_base.py:13(_index_deprecate)
   189675    0.026    0.000    0.026    0.000 {built-in method builtins.abs}
        6    0.000    0.000    0.026    0.004 tokenize.py:450(open)
        1    0.000    0.000    0.025    0.025 index_tricks.py:1(<module>)
        6    0.000    0.000    0.025    0.004 tokenize.py:357(detect_encoding)
   173220    0.025    0.000    0.025    0.000 {method 'find' of 'str' objects}
       10    0.000    0.000    0.025    0.003 tokenize.py:381(read_or_stop)
       10    0.025    0.003    0.025    0.003 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.025    0.025 gridspec.py:14(<module>)
        1    0.000    0.000    0.024    0.024 __init__.py:24(<module>)
        1    0.000    0.000    0.024    0.024 markers.py:84(<module>)
        1    0.000    0.000    0.024    0.024 basic.py:7(<module>)
       19    0.005    0.000    0.024    0.001 path.py:101(__init__)
        4    0.000    0.000    0.023    0.006 arpack.py:1684(_herm)
        1    0.000    0.000    0.022    0.022 __init__.py:8(<module>)
    29345    0.022    0.000    0.022    0.000 contract.py:109(<listcomp>)
    92523    0.022    0.000    0.022    0.000 paths.py:274(<genexpr>)
        2    0.000    0.000    0.022    0.011 data.py:80(conj)
        1    0.000    0.000    0.021    0.021 cm.py:6(<module>)
95729/95720    0.020    0.000    0.021    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.020    0.020 __init__.py:19(<module>)
        2    0.000    0.000    0.020    0.010 base.py:299(asformat)
        2    0.000    0.000    0.020    0.010 coo.py:319(tocsc)
     2028    0.001    0.000    0.020    0.000 re.py:278(_compile)
        1    0.000    0.000    0.020    0.020 decimal.py:2(<module>)
        2    0.020    0.010    0.020    0.010 {built-in method scipy.sparse._sparsetools.coo_tocsr}
        1    0.000    0.000    0.020    0.020 _parseaddr.py:7(<module>)
    30526    0.019    0.000    0.019    0.000 contract.py:238(<listcomp>)
       45    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.019    0.019 csv.py:4(<module>)
        1    0.000    0.000    0.019    0.019 triangulation.py:1(<module>)
   125413    0.019    0.000    0.019    0.000 {method 'isdisjoint' of 'set' objects}
       11    0.000    0.000    0.019    0.002 artist.py:1475(kwdoc)
        1    0.000    0.000    0.019    0.019 inspect.py:27(<module>)
      102    0.001    0.000    0.019    0.000 sre_compile.py:531(compile)
        2    0.000    0.000    0.019    0.009 compressed.py:1118(_with_data)
   257076    0.019    0.000    0.019    0.000 {method 'keys' of 'dict' objects}
       19    0.000    0.000    0.018    0.001 path.py:198(_update_values)
       19    0.000    0.000    0.018    0.001 {method 'all' of 'numpy.ndarray' objects}
       19    0.000    0.000    0.018    0.001 _methods.py:40(_all)
        1    0.000    0.000    0.018    0.018 backend_agg.py:21(<module>)
      144    0.000    0.000    0.018    0.000 re.py:222(compile)
        1    0.000    0.000    0.018    0.018 __init__.py:88(<module>)
        1    0.000    0.000    0.017    0.017 decoder.py:2(<module>)
        1    0.000    0.000    0.017    0.017 datetime.py:5(<module>)
        1    0.000    0.000    0.017    0.017 iterative.py:1(<module>)
     2856    0.002    0.000    0.017    0.000 parser.py:19(has_valid_einsum_chars_only)
        1    0.000    0.000    0.017    0.017 _constrained_layout.py:16(<module>)
        1    0.000    0.000    0.017    0.017 subprocess.py:42(<module>)
        1    0.000    0.000    0.017    0.017 charset.py:6(<module>)
       11    0.000    0.000    0.016    0.001 artist.py:1228(pprint_setters)
        1    0.000    0.000    0.016    0.016 pickle.py:24(<module>)
        1    0.000    0.000    0.016    0.016 scanner.py:2(<module>)
        1    0.000    0.000    0.016    0.016 pathlib.py:1(<module>)
        1    0.000    0.000    0.016    0.016 basic.py:5(<module>)
        1    0.000    0.000    0.016    0.016 legend.py:24(<module>)
        2    0.000    0.000    0.016    0.008 coo.py:254(_check)
       41    0.015    0.000    0.015    0.000 {built-in method io.open}
    30526    0.015    0.000    0.015    0.000 contract.py:239(<listcomp>)
        1    0.000    0.000    0.015    0.015 dis.py:1(<module>)
        1    0.000    0.000    0.015    0.015 numerictypes.py:82(<module>)
     2931    0.008    0.000    0.014    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.014    0.014 fftpack.py:32(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:11(<module>)
    93545    0.014    0.000    0.014    0.000 paths.py:265(<lambda>)
        1    0.000    0.000    0.014    0.014 result.py:1(<module>)
        1    0.000    0.000    0.014    0.014 main.py:1(<module>)
     1665    0.007    0.000    0.014    0.000 parser.py:75(find_output_str)
        1    0.000    0.000    0.014    0.014 _layoutbox.py:17(<module>)
       12    0.002    0.000    0.013    0.001 artist.py:1150(_get_setters_and_targets)
    57015    0.013    0.000    0.013    0.000 numeric.py:1327(<listcomp>)
        1    0.000    0.000    0.013    0.013 opcode.py:5(<module>)
        1    0.000    0.000    0.013    0.013 offsetbox.py:15(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:52(<module>)
      158    0.010    0.000    0.013    0.000 deprecation.py:163(deprecate)
        1    0.000    0.000    0.013    0.013 arpack.py:7(<module>)
    57015    0.013    0.000    0.013    0.000 numeric.py:1335(<listcomp>)
        2    0.013    0.006    0.013    0.006 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.012    0.012 blas.py:202(<module>)
        1    0.000    0.000    0.012    0.012 image.py:5(<module>)
      573    0.003    0.000    0.012    0.000 inspect.py:1057(getfullargspec)
        1    0.000    0.000    0.012    0.012 linsolve.py:1(<module>)
        1    0.012    0.012    0.012    0.012 numerictypes.py:451(_set_array_types)
        1    0.000    0.000    0.011    0.011 runner.py:1(<module>)
       29    0.001    0.000    0.011    0.000 __init__.py:359(namedtuple)
     1496    0.001    0.000    0.011    0.000 __init__.py:897(__setitem__)
        1    0.000    0.000    0.011    0.011 contract.py:3(<module>)
        1    0.000    0.000    0.011    0.011 base.py:1(<module>)
    29345    0.010    0.000    0.010    0.000 contract.py:131(<listcomp>)
        1    0.000    0.000    0.010    0.010 category.py:13(<module>)
    29345    0.010    0.000    0.010    0.000 contract.py:395(<dictcomp>)
      102    0.000    0.000    0.010    0.000 sre_parse.py:819(parse)
      474    0.004    0.000    0.010    0.000 MPS_analysis.py:31(B)
        1    0.000    0.000    0.010    0.010 _ellip_harm.py:1(<module>)
      446    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        6    0.000    0.000    0.010    0.002 _methods.py:25(_amax)
        4    0.000    0.000    0.010    0.002 {method 'max' of 'numpy.ndarray' objects}
      612    0.001    0.000    0.010    0.000 inspect.py:2152(_signature_from_callable)
        1    0.000    0.000    0.009    0.009 compressed.py:1(<module>)
    29345    0.009    0.000    0.009    0.000 backends.py:48(has_einsum)
  219/102    0.001    0.000    0.009    0.000 sre_parse.py:429(_parse_sub)
        1    0.000    0.000    0.009    0.009 fontconfig_pattern.py:7(<module>)
    88301    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
  269/115    0.003    0.000    0.009    0.000 sre_parse.py:491(_parse)
    57203    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.008    0.008 __init__.py:14(<module>)
      475    0.008    0.000    0.008    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.008    0.008 api.py:1(<module>)
        1    0.000    0.000    0.008    0.008 lil.py:2(<module>)
        1    0.000    0.000    0.008    0.008 sysconfig.py:10(<module>)
      102    0.000    0.000    0.008    0.000 sre_compile.py:516(_code)
      612    0.003    0.000    0.008    0.000 inspect.py:2071(_signature_from_function)
        1    0.000    0.000    0.007    0.007 polynomial.py:56(<module>)
        1    0.000    0.000    0.007    0.007 matfuncs.py:5(<module>)
     3903    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.007    0.007 dates.py:137(<module>)
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
