M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         49944522 function calls (49937501 primitive calls) in 1951.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.018    0.018 _policybase.py:4(<module>)
        1    0.000    0.000    0.017    0.017 misc.py:1(<module>)
      191    0.001    0.000    0.017    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.017    0.017 __init__.py:57(<module>)
        1    0.000    0.000    0.017    0.017 pyparsing.py:75(<module>)
      374    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       12    0.002    0.000    0.016    0.001 artist.py:1179(_get_setters_and_targets)
    61834    0.016    0.000    0.016    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.015    0.015 utils.py:5(<module>)
    29343    0.015    0.000    0.015    0.000 contract.py:132(<listcomp>)
      410    0.001    0.000    0.015    0.000 artist.py:1142(get_valid_values)
  394/191    0.001    0.000    0.015    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.015    0.015 _ccallback.py:1(<module>)
  443/199    0.005    0.000    0.014    0.000 sre_parse.py:470(_parse)
    57735    0.014    0.000    0.014    0.000 numeric.py:1309(<listcomp>)
      474    0.004    0.000    0.014    0.000 MPS_analysis.py:31(B)
    57735    0.014    0.000    0.014    0.000 numeric.py:1302(<listcomp>)
      583    0.003    0.000    0.014    0.000 inspect.py:1079(getfullargspec)
        2    0.000    0.000    0.014    0.007 __init__.py:45(<module>)
    57735    0.014    0.000    0.014    0.000 numeric.py:1301(<listcomp>)
        1    0.000    0.000    0.014    0.014 iterative.py:1(<module>)
    93538    0.013    0.000    0.013    0.000 paths.py:261(<lambda>)
      191    0.000    0.000    0.013    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.013    0.013 csr.py:1(<module>)
        1    0.000    0.000    0.013    0.013 lzma.py:9(<module>)
        1    0.000    0.000    0.013    0.013 inspect.py:27(<module>)
    57846    0.013    0.000    0.013    0.000 {built-in method builtins.iter}
     1800    0.002    0.000    0.013    0.000 __init__.py:829(__setitem__)
        2    0.000    0.000    0.013    0.006 _distributor_init.py:10(<module>)
    57735    0.012    0.000    0.012    0.000 numeric.py:1310(<listcomp>)
        1    0.000    0.000    0.012    0.012 socket.py:47(<module>)
        4    0.000    0.000    0.012    0.003 _version.py:7(<module>)
        1    0.000    0.000    0.012    0.012 basic.py:7(<module>)
      373    0.012    0.000    0.012    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.012    0.012 financial.py:12(<module>)
       30    0.001    0.000    0.012    0.000 __init__.py:357(namedtuple)
        1    0.000    0.000    0.012    0.012 decimal.py:2(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:97(<module>)
      484    0.000    0.000    0.012    0.000 re.py:179(search)
        1    0.000    0.000    0.012    0.012 lapack.py:461(<module>)
      622    0.002    0.000    0.011    0.000 inspect.py:2173(_signature_from_callable)
    29343    0.011    0.000    0.011    0.000 dispatch.py:61(has_einsum)
        1    0.000    0.000    0.011    0.011 decoder.py:2(<module>)
        1    0.000    0.000    0.011    0.011 flinalg.py:5(<module>)
        1    0.000    0.000    0.010    0.010 _internal.py:6(<module>)
        1    0.000    0.000    0.010    0.010 scanner.py:2(<module>)
     2132    0.002    0.000    0.010    0.000 parser.py:36(has_valid_einsum_chars_only)
  822/191    0.003    0.000    0.010    0.000 sre_compile.py:64(_compile)
      622    0.004    0.000    0.009    0.000 inspect.py:2092(_signature_from_function)
        1    0.000    0.000    0.009    0.009 hashlib.py:54(<module>)
        1    0.000    0.000    0.009    0.009 dis.py:1(<module>)
        4    0.000    0.000    0.009    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.009    0.009 bisect.py:1(<module>)
    29343    0.009    0.000    0.009    0.000 contract.py:394(<dictcomp>)
        1    0.000    0.000    0.009    0.009 __init__.py:52(<module>)
        1    0.000    0.000    0.009    0.009 pyplot.py:177(switch_backend)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _validation.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:108(import_module)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:982(_gcd_import)
        1    0.000    0.000    0.008    0.008 linsolve.py:1(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:21(<module>)
        1    0.000    0.000    0.008    0.008 opcode.py:5(<module>)
        1    0.000    0.000    0.008    0.008 backend_tkagg.py:1(<module>)
      444    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2282    0.004    0.000    0.008    0.000 {built-in method builtins.all}
