M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4284    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(parent)
     2371    0.013    0.000    0.013    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      191    0.000    0.000    0.013    0.000 sre_compile.py:542(_code)
     1896    0.007    0.000    0.013    0.000 weakref.py:165(__setitem__)
      474    0.008    0.000    0.013    0.000 queues.py:67(_after_fork)
    57735    0.013    0.000    0.013    0.000 numeric.py:1310(<listcomp>)
     1800    0.002    0.000    0.012    0.000 __init__.py:829(__setitem__)
     5691    0.012    0.000    0.012    0.000 {built-in method numpy.core.multiarray.copyto}
      948    0.007    0.000    0.012    0.000 process.py:52(_cleanup)
    57846    0.012    0.000    0.012    0.000 {built-in method builtins.iter}
     1896    0.012    0.000    0.012    0.000 ufunclike.py:84(isposinf)
      948    0.006    0.000    0.012    0.000 type_check.py:326(_getmaxmin)
      484    0.000    0.000    0.011    0.000 re.py:179(search)
      622    0.002    0.000    0.011    0.000 inspect.py:2173(_signature_from_callable)
       30    0.001    0.000    0.011    0.000 __init__.py:357(namedtuple)
     2132    0.002    0.000    0.010    0.000 parser.py:36(has_valid_einsum_chars_only)
    29343    0.010    0.000    0.010    0.000 dispatch.py:61(has_einsum)
        2    0.000    0.000    0.010    0.005 parser.py:5(<module>)
  822/191    0.003    0.000    0.010    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.009    0.009 feedparser.py:20(<module>)
      622    0.004    0.000    0.009    0.000 inspect.py:2092(_signature_from_function)
        4    0.000    0.000    0.009    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.009    0.009 lgmres.py:4(<module>)
        1    0.000    0.000    0.009    0.009 pyplot.py:177(switch_backend)
    29343    0.009    0.000    0.009    0.000 contract.py:394(<dictcomp>)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _internal.py:6(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:184(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:108(import_module)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:982(_gcd_import)
      951    0.006    0.000    0.008    0.000 twodim_base.py:197(diag)
        1    0.000    0.000    0.008    0.008 font_manager.py:21(<module>)
        1    0.000    0.000    0.008    0.008 backend_tkagg.py:1(<module>)
     2282    0.004    0.000    0.008    0.000 {built-in method builtins.all}
      456    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.008    0.008 _policybase.py:4(<module>)
      474    0.002    0.000    0.008    0.000 connection.py:501(Pipe)
        1    0.000    0.000    0.008    0.008 __init__.py:220(<module>)
        1    0.000    0.000    0.008    0.008 utils.py:4(<module>)
        1    0.000    0.000    0.008    0.008 artist.py:1(<module>)
     1896    0.007    0.000    0.007    0.000 ufunclike.py:144(isneginf)
