M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1641    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
      275    0.001    0.000    0.002    0.000 function_base.py:4514(add_newdoc)
       11    0.001    0.000    0.005    0.000 artist.py:1087(get_aliases)
      429    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      420    0.001    0.000    0.001    0.000 {method 'mro' of 'type' objects}
      429    0.001    0.000    0.007    0.000 pyparsing.py:1144(copy)
      380    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
        1    0.001    0.001    0.003    0.003 pyplot.py:2197(_setup_pyplot_info_docstrings)
     1475    0.001    0.000    0.001    0.000 artist.py:1183(is_alias)
       84    0.001    0.000    0.001    0.000 pyparsing.py:3238(__init__)
      800    0.001    0.000    0.001    0.000 numeric.py:1329(<listcomp>)
       26    0.001    0.000    0.010    0.000 __init__.py:905(__init__)
       12    0.001    0.000    0.443    0.037 __init__.py:1(<module>)
     3499    0.001    0.000    0.001    0.000 inspect.py:2445(name)
      687    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:406(cached)
   530/10    0.001    0.000    0.787    0.079 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
   151/27    0.001    0.000    0.010    0.000 pyparsing.py:3375(parseImpl)
     1108    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      106    0.001    0.000    0.001    0.000 functools.py:43(update_wrapper)
      323    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      205    0.001    0.000    0.004    0.000 cbook.py:1131(dedent)
     1809    0.001    0.000    0.001    0.000 sre_parse.py:242(match)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      109    0.001    0.000    0.018    0.000 sre_parse.py:819(parse)
     1329    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
